RMSE,MAE,R2,Model,Dropped_Feature
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Sarlahi_Precipitation
21.496983652438534,18.167038935688222,-0.6768984708871195,Linear,Sarlahi_Precipitation
29.24871603364348,24.559549240271224,-2.104311748282859,RandomForest,Sarlahi_Precipitation
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Sarlahi_Precipitation
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Hilly_Precipitation
21.50159586329313,18.169348239583314,-0.6776181103628516,Linear,Hilly_Precipitation
29.167752640296797,24.471518796577367,-2.0871494392292766,RandomForest,Hilly_Precipitation
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Hilly_Precipitation
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Hilly_Rainfall_MM
21.50154249646989,18.169445073493186,-0.6776097826983729,Linear,Hilly_Rainfall_MM
29.1926514742298,24.499520921376735,-2.0924223329201213,RandomForest,Hilly_Rainfall_MM
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Hilly_Rainfall_MM
26.21750548415116,21.65482287671328,-1.4942182428854576,LightGBM,Kathmandu_Rainfall_MM
21.55474641919123,18.18702179664412,-0.6859222885669387,Linear,Kathmandu_Rainfall_MM
29.184560746931147,24.49673952941392,-2.09070844415754,RandomForest,Kathmandu_Rainfall_MM
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Kathmandu_Rainfall_MM
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Season_Autumn
21.49698365243854,18.167038935688236,-0.6768984708871209,Linear,Season_Autumn
28.112007067546664,23.47274735931929,-1.867711269329194,RandomForest,Season_Autumn
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Season_Autumn
26.195767410283946,21.66784719182149,-1.4900838279950093,LightGBM,is_festival
21.59222009440177,18.19894872183447,-0.6917894531680622,Linear,is_festival
27.935247172884463,23.30309637681357,-1.831762022848228,RandomForest,is_festival
22.89785520295886,18.60824697391221,-0.9025729848481743,XGBoost,is_festival
26.186887971948053,21.60827615324509,-1.4883960134630452,LightGBM,month_cos
21.11613668417175,17.654555878519535,-0.6180079283216195,Linear,month_cos
28.209005286273822,23.68324551087486,-1.887535024609785,RandomForest,month_cos
23.064503857798805,18.743079032484808,-0.9303672911927028,XGBoost,month_cos
24.915736109251604,20.32601673700753,-1.2526782260405116,LightGBM,Supply_Volume
21.78092058331022,18.751523239753606,-0.721488712085399,Linear,Supply_Volume
25.927344229753203,21.51472373807822,-1.439314423587279,RandomForest,Supply_Volume
20.080338663523058,16.380094473938648,-0.46316661232910916,XGBoost,Supply_Volume
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Sarlahi_Rainfall_MM
21.496983652438534,18.167038935688222,-0.6768984708871195,Linear,Sarlahi_Rainfall_MM
29.24871603364348,24.559549240271224,-2.104311748282859,RandomForest,Sarlahi_Rainfall_MM
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Sarlahi_Rainfall_MM
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Season_Spring
21.496983652438537,18.167038935688225,-0.67689847088712,Linear,Season_Spring
28.80616709759532,24.111498601193908,-2.01108258802395,RandomForest,Season_Spring
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Season_Spring
25.86543416054217,21.329570001281535,-1.4276789995567811,LightGBM,Sarlahi_Temperature
21.86399459548038,18.828506675818897,-0.7346455206591149,Linear,Sarlahi_Temperature
29.41227855845386,24.70934654128594,-2.139128234949213,RandomForest,Sarlahi_Temperature
22.970329254499696,18.665403891332744,-0.9146357204044584,XGBoost,Sarlahi_Temperature
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,Season_Monsoon
21.496983652438526,18.16703893568822,-0.6768984708871186,Linear,Season_Monsoon
28.488084128034963,23.788809932491912,-1.9449518786134474,RandomForest,Season_Monsoon
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,Season_Monsoon
26.17350177903944,21.602987200731985,-1.4858526310361655,LightGBM,day_of_week
21.496772471815888,18.166747424065694,-0.6768655242440476,Linear,day_of_week
28.821918818734336,24.222405996791537,-2.014376514689059,RandomForest,day_of_week
22.897446909464488,18.607860353655767,-0.9025051355898288,XGBoost,day_of_week
23.7286769983537,19.99939597367022,-1.0431430071960577,LightGBM,Diesel
18.969929999177143,15.950735513216259,-0.3058195698306001,Linear,Diesel
25.64758809644078,21.732352505852017,-1.386957996732967,RandomForest,Diesel
