feature,importance_mean,importance_std
month,0.9340469754803108,0.07842306372835428
Inflation,0.1255634972683096,0.03191714493883382
is_festival,0.05944750065173169,0.008847710461674868
Diesel,0.03701872744319401,0.008085515833357851
Season_Spring,0.03080143350982789,0.0027927519467864743
Sarlahi_Temperature,0.01485436625772002,0.003041961000903216
day,0.009231597940153801,0.0010625316133029727
USD_TO_NPR,0.004761709271623194,0.001890225325965247
Hilly_Temperature,0.004221706367295619,0.0027555137324488167
Supply_Volume,0.0039628022315156275,0.0007853073233243796
Hilly_Precipitation,0.002336987509279187,0.0004793111158051896
Kathmandu_Rainfall_MM,0.0017979782393439559,0.0005066817354628805
Season_Autumn,1.055170061448063e-05,0.00012139797568762244
Season_Monsoon,0.0,0.0
Sarlahi_Rainfall_MM,0.0,0.0
Sarlahi_Precipitation,0.0,0.0
Season_Winter,0.0,0.0
Hilly_Rainfall_MM,0.0,0.0
day_of_week,0.0,0.0
is_weekend,0.0,0.0
month_sin,0.0,0.0
month_cos,0.0,0.0
