feature,importance_mean,importance_std
Sarlahi_Temperature,0.9333746897792405,0.11107514587318272
month_sin,0.21966162042436163,0.019906970210535252
month_cos,0.21952418211216798,0.026140702803144063
month,0.08614075058006081,0.016452709926606218
Season_Spring,0.07960903875156053,0.006906237630725541
Season_Monsoon,0.06998866893369642,0.009846930085712507
Season_Autumn,0.03953765525924775,0.013018945782530829
is_festival,0.030529543380828517,0.00912382017604067
Inflation,0.019140935287830917,0.008062083861989663
Kathmandu_Rainfall_MM,0.00927271023831271,0.005701777094494788
Supply_Volume,0.005442161767828834,0.002425736208773
Diesel,0.0026453331400346112,0.013926212905013707
USD_TO_NPR,0.001956695239390993,0.00032050681169279894
Sarlahi_Rainfall_MM,0.0015767026630004067,0.0015466336094849937
Hilly_Temperature,0.0008293775482856702,0.011971781554422403
is_weekend,0.0003088511657016735,0.00048071703432248905
day_of_week,6.390829918738739e-05,0.00012691825750462028
Hilly_Rainfall_MM,-0.00045720530964228346,0.0016386040806981956
day,-0.004758099789947279,0.003149690043749285
Season_Winter,-0.07968398951964642,0.018428960456934703
