feature,importance_mean,importance_std
month,0.7117085126429612,0.06388699804101164
Inflation,0.23547383245693995,0.044305113716929925
month_sin,0.07380943328673172,0.01834735134411504
is_festival,0.06188937333332177,0.011410912916198003
Sarlahi_Temperature,0.007729961991853618,0.0018846830820125988
Season_Monsoon,0.005676451986003517,0.0013306113097251203
USD_TO_NPR,0.005118938583148325,0.0008393244489807174
Season_Spring,0.0033437518837764247,0.0011214866390354275
Supply_Volume,0.003071417448024738,0.0009375537544484086
Diesel,0.0015113214504354322,0.0005986666426124525
Hilly_Temperature,0.0013316910251719772,0.0004413805968011917
day,0.0008215047968990307,0.0001018548375151564
day_of_week,0.000175311971494585,4.516937392731636e-05
Hilly_Rainfall_MM,0.0001184151344747253,4.2947992272163674e-05
Kathmandu_Rainfall_MM,6.491159269211844e-05,0.0001019377372556235
Hilly_Precipitation,1.9837090999952343e-06,1.7907927880036687e-05
Season_Autumn,0.0,0.0
Season_Winter,0.0,0.0
Sarlahi_Rainfall_MM,0.0,0.0
Sarlahi_Precipitation,0.0,0.0
is_weekend,0.0,0.0
month_cos,-0.023682423932651388,0.002945400076701593
