feature,importance_mean,importance_std
month,0.5078400945462349,0.04831134154112386
month_sin,0.07680730537715749,0.010698072836197076
Inflation,0.07020440867050523,0.014901079680565423
Season_Spring,0.02053505231600037,0.001754267345166653
is_festival,0.010387784883303141,0.0019262486710926383
Sarlahi_Temperature,0.007481787110769167,0.0032077359084781904
Supply_Volume,0.0030961359193869666,0.0031247822372469027
Season_Autumn,0.0,0.0
Diesel,0.0,0.0
USD_TO_NPR,0.0,0.0
Season_Monsoon,0.0,0.0
Sarlahi_Precipitation,0.0,0.0
Kathmandu_Rainfall_MM,0.0,0.0
Season_Winter,0.0,0.0
Hilly_Temperature,0.0,0.0
Sarlahi_Rainfall_MM,0.0,0.0
Hilly_Rainfall_MM,0.0,0.0
Hilly_Precipitation,0.0,0.0
day,0.0,0.0
day_of_week,0.0,0.0
is_weekend,0.0,0.0
month_cos,-8.333629832558697e-05,0.00022060193743550822
