Model,Rank,Index_in_holdout,Date,Actual,Predicted,AbsError,SignedError
LightGBM,1,144,2025-06-10 00:00:00,105.5,68.68988143582833,36.810118564171674,-36.810118564171674
LightGBM,2,145,2025-06-11 00:00:00,104.25,68.68988143582833,35.560118564171674,-35.560118564171674
LightGBM,3,146,2025-06-12 00:00:00,96.4,67.09071314937204,29.30928685062797,-29.30928685062797
LightGBM,4,61,2025-03-19 00:00:00,17.67,39.15022424961138,21.480224249611375,21.480224249611375
LightGBM,5,63,2025-03-21 00:00:00,18.33,39.15022424961138,20.82022424961138,20.82022424961138
Linear,1,144,2025-06-10 00:00:00,105.5,66.16368372305206,39.33631627694794,-39.33631627694794
Linear,2,145,2025-06-11 00:00:00,104.25,66.56796673957984,37.682033260420155,-37.682033260420155
Linear,3,146,2025-06-12 00:00:00,96.4,68.17604951056913,28.223950489430877,-28.223950489430877
Linear,4,61,2025-03-19 00:00:00,17.67,44.57506173096263,26.90506173096263,26.90506173096263
Linear,5,62,2025-03-20 00:00:00,18.33,44.64877334590916,26.318773345909165,26.318773345909165
RandomForest,1,144,2025-06-10 00:00:00,105.5,62.24485116863285,43.25514883136715,-43.25514883136715
RandomForest,2,145,2025-06-11 00:00:00,104.25,62.47184849978753,41.77815150021247,-41.77815150021247
RandomForest,3,146,2025-06-12 00:00:00,96.4,62.855561522475575,33.54443847752443,-33.54443847752443
RandomForest,4,275,2025-10-19 00:00:00,47.25,71.94887996821069,24.69887996821069,24.69887996821069
RandomForest,5,276,2025-10-20 00:00:00,47.75,71.94887996821069,24.19887996821069,24.19887996821069
XGBoost,1,144,2025-06-10 00:00:00,105.5,63.577030181884766,41.922969818115234,-41.922969818115234
XGBoost,2,145,2025-06-11 00:00:00,104.25,64.1560287475586,40.093971252441406,-40.093971252441406
XGBoost,3,146,2025-06-12 00:00:00,96.4,64.1560287475586,32.24397125244141,-32.24397125244141
XGBoost,4,61,2025-03-19 00:00:00,17.67,47.53455352783203,29.86455352783203,29.86455352783203
XGBoost,5,63,2025-03-21 00:00:00,18.33,47.53455352783203,29.204553527832033,29.204553527832033
