Model,Rank,Index_in_holdout,Date,Actual,Predicted,AbsError,SignedError
LightGBM,1,61,2025-03-19,17.67,72.66649755672358,54.99649755672358,54.99649755672358
LightGBM,2,62,2025-03-20,18.33,72.66649755672358,54.336497556723586,54.336497556723586
LightGBM,3,63,2025-03-21,18.33,72.66649755672358,54.336497556723586,54.336497556723586
LightGBM,4,59,2025-03-17,22.33,72.66649755672358,50.336497556723586,50.336497556723586
LightGBM,5,64,2025-03-22,22.33,72.66649755672358,50.336497556723586,50.336497556723586
Linear,1,48,2025-03-06,22.33,65.21476625287389,42.88476625287389,42.88476625287389
Linear,2,61,2025-03-19,17.67,59.79472250058367,42.124722500583665,42.124722500583665
Linear,3,63,2025-03-21,18.33,59.81006627912929,41.48006627912929,41.48006627912929
Linear,4,104,2025-05-01,35.0,76.27186768146275,41.27186768146275,41.27186768146275
Linear,5,62,2025-03-20,18.33,59.48299329482178,41.15299329482178,41.15299329482178
RandomForest,1,62,2025-03-20,18.33,81.53821940024514,63.20821940024514,63.20821940024514
RandomForest,2,63,2025-03-21,18.33,81.24211470587925,62.91211470587925,62.91211470587925
RandomForest,3,61,2025-03-19,17.67,79.78374758109996,62.11374758109996,62.11374758109996
RandomForest,4,64,2025-03-22,22.33,81.41125662199691,59.081256621996914,59.081256621996914
RandomForest,5,60,2025-03-18,22.33,77.96309020125345,55.63309020125345,55.63309020125345
XGBoost,1,63,2025-03-21,18.33,75.53741455078125,57.20741455078125,57.20741455078125
XGBoost,2,62,2025-03-20,18.33,75.428466796875,57.098466796875,57.098466796875
XGBoost,3,61,2025-03-19,17.67,73.84088134765625,56.17088134765625,56.17088134765625
XGBoost,4,57,2025-03-15,22.33,75.4807357788086,53.150735778808595,53.150735778808595
XGBoost,5,56,2025-03-14,22.33,75.43951416015625,53.10951416015625,53.10951416015625
