feature,importance_mean,importance_std
day,0.04367293987164138,0.02847270829513959
Inflation,0.03944271347582591,0.006281737709912553
Diesel,0.010869417065150789,0.013663966542101573
Sarlahi_Temperature,0.0021299915399446423,0.0008988234292841351
Season_Autumn,0.0015769895075018248,0.0015494615879796465
month_cos,0.0014692996796097368,0.0020261706196415177
day_of_week,0.0005422971421193967,0.0005803606612154448
Hilly_Air_Pressure,0.0,0.0
Hilly_Temperature,0.0,0.0
Season_Spring,0.0,0.0
Season_Monsoon,0.0,0.0
Kavre_Rainfall_MM,0.0,0.0
Season_Winter,0.0,0.0
Dhading_Air_Pressure,0.0,0.0
Kathmandu_Temperature,0.0,0.0
month,0.0,0.0
Sarlahi_Air_Pressure,0.0,0.0
Average_Price_lag7,0.0,0.0
Average_Price_lag14,0.0,0.0
Average_Price_lag3,0.0,0.0
Average_Price_lag1,0.0,0.0
is_weekend,0.0,0.0
is_festival,0.0,0.0
Hilly_Air_Pressure_rollmean_3,0.0,0.0
Supply_Volume_rollstd_3,0.0,0.0
Supply_Volume_rollmean_7,0.0,0.0
Supply_Volume_rollstd_7,0.0,0.0
Sarlahi_Temperature_rollmean_3,0.0,0.0
Sarlahi_Temperature_rollstd_3,0.0,0.0
Supply_Volume_lag1,0.0,0.0
Supply_Volume_lag3,0.0,0.0
Sarlahi_Temperature_lag7,0.0,0.0
Supply_Volume_lag7,0.0,0.0
Sarlahi_Temperature_lag1,0.0,0.0
Sarlahi_Temperature_lag3,0.0,0.0
Sarlahi_Rainfall_MM_lag3,0.0,0.0
Sarlahi_Rainfall_MM_lag1,0.0,0.0
Sarlahi_Rainfall_MM_lag7,0.0,0.0
Hilly_Temperature_lag1,0.0,0.0
Kavre_Rainfall_MM_lag1,0.0,0.0
Hilly_Temperature_lag3,0.0,0.0
Hilly_Temperature_lag7,0.0,0.0
Hilly_Air_Pressure_lag1,0.0,0.0
Hilly_Air_Pressure_lag3,0.0,0.0
Dhading_Rainfall_MM_lag1,0.0,0.0
Dhading_Rainfall_MM_lag3,0.0,0.0
Dhading_Rainfall_MM_lag7,0.0,0.0
Kathmandu_Air_Pressure_lag3,0.0,0.0
Kavre_Rainfall_MM_lag3,0.0,0.0
Kavre_Rainfall_MM_lag7,0.0,0.0
Kathmandu_Air_Pressure_lag1,0.0,0.0
Kathmandu_Rainfall_MM_lag3,0.0,0.0
Kathmandu_Rainfall_MM_lag1,0.0,0.0
Kathmandu_Rainfall_MM_lag7,0.0,0.0
Supply_Volume_rollmean_3,0.0,0.0
Kavre_Rainfall_MM_rollmean_7,0.0,0.0
Hilly_Air_Pressure_rollstd_3,0.0,0.0
Dhading_Rainfall_MM_rollmean_3,0.0,0.0
Dhading_Rainfall_MM_rollstd_3,0.0,0.0
Dhading_Rainfall_MM_rollmean_7,0.0,0.0
Dhading_Rainfall_MM_rollstd_7,0.0,0.0
Sarlahi_Temperature_rollmean_7,0.0,0.0
Sarlahi_Temperature_rollstd_7,0.0,0.0
Sarlahi_Rainfall_MM_rollmean_3,0.0,0.0
Sarlahi_Rainfall_MM_rollstd_3,0.0,0.0
Sarlahi_Rainfall_MM_rollmean_7,0.0,0.0
Sarlahi_Rainfall_MM_rollstd_7,0.0,0.0
Hilly_Temperature_rollmean_3,0.0,0.0
Hilly_Temperature_rollstd_3,0.0,0.0
Hilly_Temperature_rollmean_7,0.0,0.0
Hilly_Temperature_rollstd_7,0.0,0.0
Kathmandu_Rainfall_MM_rollmean_3,0.0,0.0
Kavre_Rainfall_MM_rollstd_7,0.0,0.0
Kathmandu_Air_Pressure_rollmean_3,0.0,0.0
Kathmandu_Air_Pressure_rollstd_3,0.0,0.0
Kathmandu_Rainfall_MM_rollmean_7,0.0,0.0
Kathmandu_Rainfall_MM_rollstd_3,0.0,0.0
Kavre_Rainfall_MM_rollmean_3,0.0,0.0
Kavre_Rainfall_MM_rollstd_3,0.0,0.0
Kathmandu_Rainfall_MM_rollstd_7,0.0,0.0
Kathmandu_Rainfall_MM,-0.0010210635999875262,0.00044067716869166496
Sarlahi_Rainfall_MM,-0.0013071078208477527,0.0005401308501810007
Dhading_Rainfall_MM,-0.0022205510569835328,0.002837534319216011
USD_TO_NPR,-0.0035743391646777755,0.004098011705958764
Kathmandu_Air_Pressure,-0.004259952812934786,0.0021412409478717793
month_sin,-0.018752192889586274,0.022824245530564603
Supply_Volume,-0.0802775356562814,0.04517599847975278
