feature,importance_mean,importance_std
Dhading_Air_Pressure,41.02308380953125,2.4188858668689526
Sarlahi_Air_Pressure,10.015528272221824,0.4022610590761203
Kathmandu_Air_Pressure,4.170269999295834,0.18131033587171483
Kathmandu_Temperature,3.9292995379150804,0.22352832158705174
Hilly_Air_Pressure,3.55677268028381,0.14702945665384629
Hilly_Temperature,3.1688177980321837,0.21167287086785153
Sarlahi_Temperature,1.7986371778904153,0.13334627564988424
month_sin,0.2969986959729113,0.0317686757009886
month_cos,0.09828787603725195,0.021880571560639953
Season_Autumn,0.07257515258335596,0.017451779284003224
is_festival,0.036604772356835236,0.008686373946677104
Diesel,0.022510015772642424,0.013585702705229468
Kathmandu_Rainfall_MM,0.022394515807707682,0.005190911792012004
Kavre_Rainfall_MM,0.021885942328198692,0.0075957694206520605
USD_TO_NPR,0.020740767040442476,0.0014797644369370395
Supply_Volume,0.005095795360084398,0.0016609568471464466
day_of_month,0.0015831080457107572,0.003991364618167505
Sarlahi_Rainfall_MM,0.0014964706129533046,0.0006811861326803489
dow_sin,0.0004997363188855797,0.00032264939440247335
dow_cos,3.7915073818295395e-05,0.0003070881757883174
Average_Price_lag1,0.0,0.0
Average_Price_lag7,0.0,0.0
Average_Price_lag3,0.0,0.0
Supply_Volume_rollmean_3,0.0,0.0
Supply_Volume_rollstd_3,0.0,0.0
Supply_Volume_rollmean_7,0.0,0.0
Supply_Volume_rollstd_7,0.0,0.0
Sarlahi_Temperature_rollmean_3,0.0,0.0
Sarlahi_Temperature_rollstd_3,0.0,0.0
Average_Price_lag14,0.0,0.0
Supply_Volume_lag1,0.0,0.0
Supply_Volume_lag3,0.0,0.0
Supply_Volume_lag7,0.0,0.0
Sarlahi_Temperature_lag1,0.0,0.0
Sarlahi_Temperature_lag3,0.0,0.0
Sarlahi_Temperature_lag7,0.0,0.0
Sarlahi_Rainfall_MM_lag1,0.0,0.0
Sarlahi_Rainfall_MM_lag3,0.0,0.0
Sarlahi_Rainfall_MM_lag7,0.0,0.0
Hilly_Temperature_lag1,0.0,0.0
Hilly_Temperature_lag3,0.0,0.0
Hilly_Temperature_lag7,0.0,0.0
Hilly_Air_Pressure_lag1,0.0,0.0
Hilly_Air_Pressure_lag3,0.0,0.0
Dhading_Rainfall_MM_lag1,0.0,0.0
Dhading_Rainfall_MM_lag3,0.0,0.0
Dhading_Rainfall_MM_lag7,0.0,0.0
Kavre_Rainfall_MM_lag1,0.0,0.0
Kavre_Rainfall_MM_lag3,0.0,0.0
Kavre_Rainfall_MM_lag7,0.0,0.0
Kathmandu_Air_Pressure_lag1,0.0,0.0
Kathmandu_Air_Pressure_lag3,0.0,0.0
Kathmandu_Rainfall_MM_lag1,0.0,0.0
Kathmandu_Rainfall_MM_lag3,0.0,0.0
Kathmandu_Rainfall_MM_lag7,0.0,0.0
Hilly_Air_Pressure_rollmean_3,0.0,0.0
Hilly_Air_Pressure_rollstd_3,0.0,0.0
Dhading_Rainfall_MM_rollmean_3,0.0,0.0
Dhading_Rainfall_MM_rollstd_3,0.0,0.0
Dhading_Rainfall_MM_rollmean_7,0.0,0.0
Dhading_Rainfall_MM_rollstd_7,0.0,0.0
Sarlahi_Temperature_rollmean_7,0.0,0.0
Sarlahi_Temperature_rollstd_7,0.0,0.0
Sarlahi_Rainfall_MM_rollmean_3,0.0,0.0
Sarlahi_Rainfall_MM_rollstd_3,0.0,0.0
Sarlahi_Rainfall_MM_rollmean_7,0.0,0.0
Sarlahi_Rainfall_MM_rollstd_7,0.0,0.0
Hilly_Temperature_rollmean_3,0.0,0.0
Hilly_Temperature_rollstd_3,0.0,0.0
Hilly_Temperature_rollmean_7,0.0,0.0
Hilly_Temperature_rollstd_7,0.0,0.0
Kavre_Rainfall_MM_rollmean_7,0.0,0.0
Kavre_Rainfall_MM_rollstd_7,0.0,0.0
Kathmandu_Air_Pressure_rollmean_3,0.0,0.0
Kathmandu_Air_Pressure_rollstd_3,0.0,0.0
Kathmandu_Rainfall_MM_rollmean_3,0.0,0.0
Kathmandu_Rainfall_MM_rollstd_3,0.0,0.0
Kavre_Rainfall_MM_rollmean_3,0.0,0.0
Kavre_Rainfall_MM_rollstd_3,0.0,0.0
Kathmandu_Rainfall_MM_rollmean_7,0.0,0.0
Kathmandu_Rainfall_MM_rollstd_7,0.0,0.0
is_weekend,-4.764277521536186e-05,4.8376139639258875e-05
Dhading_Rainfall_MM,-0.000717114550336273,0.009440148949139282
Inflation,-0.002530386876996649,0.014440505056718953
Season_Monsoon,-0.022294458383087568,0.0030990242775884333
Season_Spring,-0.0513551745386754,0.004281865525121856
Season_Winter,-0.052898997323721456,0.014133060022676114
