feature,importance_mean,importance_std
Average_Price_lag1,1.5943693977212683,0.09978911437271273
Average_Price_rollmean_3,0.029703996261067178,0.0033214379139952627
Average_Price_rollmean_7,0.001198226276897696,0.0002437831630884825
Sarlahi_Temperature_lag3,0.0010814237553577687,0.00024262842884588515
Sarlahi_Temperature_lag7,0.0010509206680441308,0.0003357625981171279
Sarlahi_Rainfall_MM_lag7,0.0008693629794705226,0.0004578027498017259
Supply_Volume_rollstd_3,0.0007269669348394347,0.00016415008918858187
Hilly_Temperature_lag1,0.0005674264202420121,0.00015109343698338203
Average_Price_rollstd_3,0.0005562302859778101,0.00017356569780392693
Average_Price_lag3,0.0005257924873517505,0.00012626641369091568
Hilly_Temperature_lag3,0.00032812817184110223,0.00010907644789367962
Hilly_Temperature,0.0003137123354005289,8.210958898732027e-05
month,0.0003009716169968146,6.406790087674032e-05
Sarlahi_Temperature_lag1,0.0002855451008709431,9.746675441264072e-05
Sarlahi_Temperature,0.00022135272248700045,9.34343921488761e-05
Sarlahi_Rainfall_MM_lag3,0.0002022482354132493,0.00011307924625840055
Kathmandu_Rainfall_MM_lag2,0.0002015057019094213,0.00011758800709705587
Supply_Volume_rollmean_3,0.00017419456666475374,0.00015603813139373137
Diesel,0.00014222443389981797,0.00010942903813480773
Hilly_Rainfall_MM_lag7,0.00012877084579678843,4.192076854064268e-05
month_sin,0.00012196388113278056,6.795285896101499e-05
Supply_Volume,0.00012099596199260931,9.168904940148735e-05
Kathmandu_Rainfall_MM,0.00011170233072765878,3.8524134933220514e-05
Average_Price_rollstd_7,0.00010831088762930374,0.0002560802302380767
Hilly_Temperature_lag7,0.0001024925504521379,5.679481666379565e-05
Hilly_Rainfall_MM,9.567236049958793e-05,4.049807303906387e-05
day,8.843376710230278e-05,2.2592541516981812e-05
Hilly_Rainfall_MM_lag1,7.900670900284901e-05,0.00010477745949273693
day_of_week,7.214542622842046e-05,5.626657354465855e-05
USD_TO_NPR,6.885978591196773e-05,5.4220972808093865e-05
Season_Spring,4.818394265281301e-05,2.1194406591888817e-05
month_cos,2.771585378132935e-05,2.3760752140776466e-05
Sarlahi_Rainfall_MM_lag1,1.3228375269003222e-05,7.523551839799061e-05
is_festival,0.0,0.0
is_weekend,0.0,0.0
Season_Winter,0.0,0.0
Season_Autumn,0.0,0.0
Season_Monsoon,0.0,0.0
Inflation,-2.1365943978890467e-05,3.2585402385945284e-05
Sarlahi_Rainfall_MM,-6.185228778738949e-05,3.7790435836425986e-05
Hilly_Rainfall_MM_lag3,-7.482936405917018e-05,0.0003213806293556257
Kathmandu_Rainfall_MM_lag1,-9.02921192356021e-05,0.00019405661026410185
