feature,importance_mean,importance_std
month_sin,0.17054240715856098,0.019814116557577043
Season_Autumn,0.0,0.0
USD_TO_NPR,0.0,0.0
Season_Monsoon,0.0,0.0
Season_Spring,0.0,0.0
Season_Winter,0.0,0.0
is_festival,0.0,0.0
day_of_month,0.0,0.0
Sarlahi_Temperature,0.0,0.0
Dhading_Rainfall_MM,0.0,0.0
Inflation,0.0,0.0
Kathmandu_Temperature,0.0,0.0
Kathmandu_Rainfall_MM,0.0,0.0
Kavre_Rainfall_MM,0.0,0.0
Dhading_Air_Pressure,0.0,0.0
is_weekend,0.0,0.0
Hilly_Air_Pressure,0.0,0.0
Sarlahi_Air_Pressure,0.0,0.0
Sarlahi_Rainfall_MM,0.0,0.0
Average_Price_lag1,0.0,0.0
dow_cos,0.0,0.0
dow_sin,0.0,0.0
month_cos,0.0,0.0
Supply_Volume_rollmean_3,0.0,0.0
Supply_Volume_rollstd_3,0.0,0.0
Supply_Volume_rollmean_7,0.0,0.0
Supply_Volume_rollstd_7,0.0,0.0
Average_Price_lag3,0.0,0.0
Average_Price_lag7,0.0,0.0
Average_Price_lag14,0.0,0.0
Supply_Volume_lag1,0.0,0.0
Supply_Volume_lag3,0.0,0.0
Supply_Volume_lag7,0.0,0.0
Sarlahi_Temperature_lag1,0.0,0.0
Sarlahi_Temperature_lag3,0.0,0.0
Sarlahi_Temperature_lag7,0.0,0.0
Sarlahi_Rainfall_MM_lag1,0.0,0.0
Sarlahi_Rainfall_MM_lag3,0.0,0.0
Sarlahi_Rainfall_MM_lag7,0.0,0.0
Hilly_Temperature_lag1,0.0,0.0
Hilly_Temperature_lag3,0.0,0.0
Hilly_Temperature_lag7,0.0,0.0
Hilly_Air_Pressure_lag1,0.0,0.0
Hilly_Air_Pressure_lag3,0.0,0.0
Dhading_Rainfall_MM_lag1,0.0,0.0
Dhading_Rainfall_MM_lag3,0.0,0.0
Dhading_Rainfall_MM_lag7,0.0,0.0
Kavre_Rainfall_MM_lag1,0.0,0.0
Kavre_Rainfall_MM_lag3,0.0,0.0
Kavre_Rainfall_MM_lag7,0.0,0.0
Kathmandu_Air_Pressure_lag1,0.0,0.0
Kathmandu_Air_Pressure_lag3,0.0,0.0
Kathmandu_Rainfall_MM_lag1,0.0,0.0
Kathmandu_Rainfall_MM_lag3,0.0,0.0
Kathmandu_Rainfall_MM_lag7,0.0,0.0
Hilly_Air_Pressure_rollmean_3,0.0,0.0
Hilly_Air_Pressure_rollstd_3,0.0,0.0
Dhading_Rainfall_MM_rollmean_3,0.0,0.0
Dhading_Rainfall_MM_rollstd_3,0.0,0.0
Sarlahi_Temperature_rollmean_3,0.0,0.0
Sarlahi_Temperature_rollstd_3,0.0,0.0
Sarlahi_Temperature_rollmean_7,0.0,0.0
Sarlahi_Temperature_rollstd_7,0.0,0.0
Sarlahi_Rainfall_MM_rollmean_3,0.0,0.0
Sarlahi_Rainfall_MM_rollstd_3,0.0,0.0
Sarlahi_Rainfall_MM_rollmean_7,0.0,0.0
Sarlahi_Rainfall_MM_rollstd_7,0.0,0.0
Hilly_Temperature_rollmean_3,0.0,0.0
Hilly_Temperature_rollstd_3,0.0,0.0
Hilly_Temperature_rollmean_7,0.0,0.0
Hilly_Temperature_rollstd_7,0.0,0.0
Kavre_Rainfall_MM_rollmean_7,0.0,0.0
Kavre_Rainfall_MM_rollstd_7,0.0,0.0
Kathmandu_Air_Pressure_rollmean_3,0.0,0.0
Kathmandu_Air_Pressure_rollstd_3,0.0,0.0
Dhading_Rainfall_MM_rollmean_7,0.0,0.0
Dhading_Rainfall_MM_rollstd_7,0.0,0.0
Kavre_Rainfall_MM_rollmean_3,0.0,0.0
Kavre_Rainfall_MM_rollstd_3,0.0,0.0
Kathmandu_Rainfall_MM_rollmean_3,0.0,0.0
Kathmandu_Rainfall_MM_rollstd_3,0.0,0.0
Kathmandu_Rainfall_MM_rollmean_7,0.0,0.0
Kathmandu_Rainfall_MM_rollstd_7,0.0,0.0
Hilly_Temperature,-0.010830167283842762,0.0015670420932686587
Diesel,-0.04530017915822486,0.017089031799600637
Kathmandu_Air_Pressure,-0.047743182963919925,0.015457830447736685
Supply_Volume,-0.07791265041990288,0.023709775673202944
