Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Temperature,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos,Hilly_Temperature,Hilly_Air_Pressure
2022-01-01,86.67,96650.0,119.24,119.0,0,0,0,0,1,6.03,0.0,854.0,10.35,0.0,874.8,0.0,15.05,0.0,1008.25,1,1,5,1,0.4999999999999999,0.8660254037844387,7.725,852.85
2022-01-02,108.0,142555.0,119.24,119.0,0,0,0,0,1,6.03,0.0,853.5,9.35,0.2,873.5999999999999,0.0,14.45,0.0,1006.6,2,1,6,0,0.4999999999999999,0.8660254037844387,8.025,852.1
2022-01-03,115.0,132175.0,119.24,119.0,0,0,0,0,1,6.03,0.0,851.55,11.0,0.0,872.3499999999999,0.0,14.3,0.0,1004.6,3,1,0,0,0.4999999999999999,0.8660254037844387,8.399999999999999,850.625
2022-01-04,95.0,122675.0,119.12,119.0,0,0,0,0,1,6.03,0.0,851.3,11.45,0.0,872.6,0.0,13.95,0.0,1005.6,4,1,1,0,0.4999999999999999,0.8660254037844387,8.575,850.5
2022-01-05,96.67,118475.0,119.59,119.0,0,0,0,0,1,6.03,0.0,852.8499999999999,11.1,0.0,872.5999999999999,0.0,14.65,0.0,1004.7,5,1,2,0,0.4999999999999999,0.8660254037844387,9.275,851.0
2022-01-06,86.67,135350.0,119.28,119.0,0,0,0,0,1,6.03,1.9,852.95,12.0,2.0,873.3,2.2,15.35,1.8,1004.2,6,1,3,0,0.4999999999999999,0.8660254037844387,9.9,851.5250000000001
2022-01-07,96.67,81375.0,119.49,119.0,0,0,0,0,1,6.03,0.0,853.35,13.05,0.3,873.6,0.3,16.3,0.1,1005.5,7,1,4,0,0.4999999999999999,0.8660254037844387,10.9,851.975
2022-01-08,96.67,119750.0,119.2,119.0,0,0,0,0,1,6.03,1.1,853.6,12.6,2.2,873.9,2.0,16.450000000000003,0.0,1004.85,8,1,5,1,0.4999999999999999,0.8660254037844387,11.05,852.1500000000001
2022-01-09,76.67,88300.0,119.2,119.0,0,0,0,0,1,6.03,0.0,851.45,13.0,0.0,871.2,0.1,16.15,0.0,1002.0,9,1,6,0,0.4999999999999999,0.8660254037844387,10.975000000000001,849.75
2022-01-10,75.0,174700.0,119.2,119.0,0,0,0,0,1,6.03,0.4,852.55,12.2,0.7,872.05,3.3,17.049999999999997,0.0,1003.1,10,1,0,0,0.4999999999999999,0.8660254037844387,10.5,850.675
2022-01-11,76.67,125500.0,118.77,119.0,0,0,0,0,1,6.03,0.0,852.5,12.15,0.0,872.35,0.7,17.55,0.1,1002.75,11,1,1,0,0.4999999999999999,0.8660254037844387,10.0,850.85
2022-01-12,76.67,135190.0,118.56,119.0,0,0,0,0,1,6.03,3.8,850.9,11.15,6.4,871.3499999999999,1.5,16.4,4.3,1003.0,12,1,2,0,0.4999999999999999,0.8660254037844387,8.399999999999999,849.4
2022-01-13,76.67,82150.0,118.56,119.0,0,0,0,0,1,6.03,0.0,851.2,8.049999999999999,0.0,870.7,3.1,15.2,0.9,1003.95,13,1,3,0,0.4999999999999999,0.8660254037844387,7.15,849.325
2022-01-14,76.67,95875.0,118.52,119.0,0,0,0,0,1,6.03,0.0,851.05,9.5,0.0,871.1,0.0,14.3,0.0,1004.3,14,1,4,0,0.4999999999999999,0.8660254037844387,7.225,849.4749999999999
2022-01-15,76.67,68475.0,118.95,119.0,0,0,0,0,1,6.03,0.0,851.1,8.9,0.3,871.1,0.2,13.45,0.0,1005.2,15,1,5,1,0.4999999999999999,0.8660254037844387,7.300000000000001,849.45
2022-01-16,76.67,85550.0,118.95,119.0,0,0,0,0,1,6.03,0.0,851.85,9.25,0.0,871.8,0.0,14.1,0.0,1006.7,16,1,6,0,0.4999999999999999,0.8660254037844387,7.175,850.3
2022-01-17,66.67,69753.0,118.95,119.0,0,0,0,0,1,6.03,0.0,853.25,11.55,0.0,873.7,0.0,13.8,0.0,1007.2,17,1,0,0,0.4999999999999999,0.8660254037844387,8.8,851.875
2022-01-18,66.67,121750.0,119.09,119.0,0,0,0,0,1,6.03,0.0,851.3,11.65,0.0,872.4,0.9,13.45,0.0,1004.15,18,1,1,0,0.4999999999999999,0.8660254037844387,8.95,850.3
2022-01-19,65.83500000000001,99600.0,119.62,122.0,0,0,0,0,1,6.03,0.0,849.95,11.2,0.0,870.7,0.0,13.5,0.0,1002.0,19,1,2,0,0.4999999999999999,0.8660254037844387,8.7,848.6
2022-01-20,66.67,93550.0,119.39,122.0,0,0,0,0,1,6.03,0.3,847.4000000000001,9.35,1.3,867.85,0.7,13.3,0.4,1000.0,20,1,3,0,0.4999999999999999,0.8660254037844387,7.175000000000001,846.0250000000001
2022-01-21,55.835,78800.0,119.51,122.0,0,0,0,0,1,6.03,0.7,847.8,8.25,1.5,867.55,2.5,15.6,0.0,1000.3,21,1,4,0,0.4999999999999999,0.8660254037844387,6.425,845.975
2022-01-22,56.67,71625.0,119.37,122.0,0,0,0,0,1,6.03,0.0,845.95,7.4,0.9,866.0,0.6,14.2,0.1,998.8,22,1,5,1,0.4999999999999999,0.8660254037844387,5.875,844.1750000000001
2022-01-23,55.835,77425.0,119.37,122.0,0,0,0,0,1,6.03,0.5,846.7,9.8,0.8,866.4,0.9,15.75,0.1,999.25,23,1,6,0,0.4999999999999999,0.8660254037844387,8.125,845.175
2022-01-24,55.835,65375.0,119.37,122.0,0,0,0,0,1,6.03,0.0,847.7,7.55,0.1,866.9000000000001,0.0,15.2,0.0,999.85,24,1,0,0,0.4999999999999999,0.8660254037844387,6.2,845.575
2022-01-25,56.67,92050.0,119.6,122.0,0,0,0,0,1,6.03,1.3,846.9,8.75,2.6,867.1,0.3,15.8,2.3,1000.3,25,1,1,0,0.4999999999999999,0.8660254037844387,6.55,845.4000000000001
2022-01-26,55.0,67475.0,119.95,122.0,0,0,0,0,1,6.03,11.4,848.3,8.15,1.8,867.15,0.5,13.95,0.1,1001.8,26,1,2,0,0.4999999999999999,0.8660254037844387,5.95,846.0
2022-01-27,56.67,101050.0,119.95,122.0,0,0,0,0,1,6.03,0.1,847.8,7.75,0.6,867.7,0.6,13.4,0.0,1002.2,27,1,3,0,0.4999999999999999,0.8660254037844387,5.325,845.55
2022-01-28,55.835,116825.0,120.42,122.0,0,0,0,0,1,6.03,0.0,847.35,7.050000000000001,0.0,867.45,0.0,12.45,0.0,1002.85,28,1,4,0,0.4999999999999999,0.8660254037844387,4.65,845.4749999999999
2022-01-29,55.835,106550.0,120.37,122.0,0,0,0,0,1,6.03,0.0,849.05,8.3,0.0,869.5,0.0,12.8,0.0,1003.7,29,1,5,1,0.4999999999999999,0.8660254037844387,5.725,847.25
