Model,Rank,Index_in_holdout,Date,Actual,Predicted,AbsError,SignedError
LightGBM,1,55,2025-03-19 00:00:00,17.67,20.89716637019268,3.227166370192677,3.227166370192677
LightGBM,2,56,2025-03-20 00:00:00,18.33,20.917727771755576,2.5877277717555778,2.5877277717555778
LightGBM,3,57,2025-03-21 00:00:00,18.33,20.82274589578757,2.4927458957875714,2.4927458957875714
LightGBM,4,58,2025-03-22 00:00:00,22.33,21.2775425155807,1.0524574844192998,-1.0524574844192998
LightGBM,5,203,2025-08-14 00:00:00,65.6,66.51246961091574,0.9124696109157497,0.9124696109157497
Linear,1,193,2025-08-04 00:00:00,55.2,55.199999999999726,2.7711166694643907e-13,-2.7711166694643907e-13
Linear,2,254,2025-10-04 00:00:00,75.0,74.99999999999973,2.7000623958883807e-13,-2.7000623958883807e-13
Linear,3,255,2025-10-05 00:00:00,73.15,73.14999999999974,2.7000623958883807e-13,-2.7000623958883807e-13
Linear,4,16,2025-02-08 00:00:00,58.18,58.18000000000024,2.4158453015843406e-13,2.4158453015843406e-13
Linear,5,15,2025-02-07 00:00:00,58.64,58.64000000000023,2.2737367544323206e-13,2.2737367544323206e-13
RandomForest,1,55,2025-03-19 00:00:00,17.67,19.23526309523809,1.5652630952380875,1.5652630952380875
RandomForest,2,57,2025-03-21 00:00:00,18.33,19.57462226190475,1.2446222619047518,1.2446222619047518
RandomForest,3,58,2025-03-22 00:00:00,22.33,21.497169761904726,0.8328302380952728,-0.8328302380952728
RandomForest,4,41,2025-03-05 00:00:00,29.89,30.595703035714315,0.7057030357143148,0.7057030357143148
RandomForest,5,56,2025-03-20 00:00:00,18.33,18.994449761904754,0.6644497619047556,0.6644497619047556
XGBoost,1,41,2025-03-05 00:00:00,29.89,28.776437759399414,1.1135622406005865,-1.1135622406005865
XGBoost,2,139,2025-06-11 00:00:00,104.25,103.21810150146484,1.0318984985351562,-1.0318984985351562
XGBoost,3,265,2025-10-15 00:00:00,54.65,53.84280014038086,0.8071998596191392,-0.8071998596191392
XGBoost,4,55,2025-03-19 00:00:00,17.67,18.396745681762695,0.7267456817626936,0.7267456817626936
XGBoost,5,267,2025-10-17 00:00:00,50.95,50.243228912353516,0.7067710876464872,-0.7067710876464872
