Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Wind_Speed,Dhading_Temperature,Dhading_Precipitation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Temperature,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Wind_Speed,Kavre_Temperature,Kavre_Precipitation,Kavre_Rainfall_MM,Kavre_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Supply_Volume_lag1,Supply_Volume_lag7,Supply_Volume_lag30,Average_Price_rollmean_7,Average_Price_rollmean_30,Supply_Volume_rollmean_30,Supply_Volume_rollmean_90
2022-03-31,55.0,107060.0,121.76,138.0,0,False,False,True,False,7.14,2.6710646,17.964418,27.699999,27.699999,1010.5,2.675255,18.07775,12.000001,12.000001,1011.58746,3.309703,18.649836,10.5,10.5,1010.94183,10.383812,26.065332,3.3000002,3.3000002,1007.35004,31,3,3,0,1.0,6.123233995736766e-17,55.0,60.0,67.5,76280.0,159257.5,86640.0,60.0,59.451,76907.96666666666,45691.48888888889
2022-04-01,56.67,110200.0,121.57,138.0,0,False,False,True,False,7.61,5.257998,19.74775,7.499999,7.499999,1009.48334,5.332451,19.556915,1.5000002,1.5000002,1010.7458,4.1434503,20.23525,3.3000002,3.3000002,1010.08344,7.78324,27.111168,0.0,0.0,1006.3125,1,4,4,0,0.8660254037844387,-0.4999999999999998,55.0,55.0,65.0,107060.0,185920.0,62800.0,58.81,59.451,78487.96666666666,46827.044444444444
2022-04-02,56.67,106650.0,121.57,138.0,0,False,False,True,False,7.61,3.663872,19.829004,14.800001,14.800001,1012.7083,3.3320532,18.934002,13.900002,13.900002,1014.07086,4.4839897,19.870668,6.799999,6.799999,1013.29584,13.325183,27.734085,0.8,0.8,1009.14166,2,4,5,1,0.8660254037844387,-0.4999999999999998,56.67,55.0,65.0,110200.0,85960.0,23750.0,57.620000000000005,59.451,81251.3,47923.15555555555
2022-04-03,55.0,141475.0,121.57,138.0,0,False,False,True,False,7.61,5.0691466,19.974836,5.7999997,5.7999997,1011.14166,6.0904403,19.206915,0.1,0.1,1012.33746,4.2201495,20.354,2.4999998,2.4999998,1011.6292,8.269715,26.929918,1.5,1.5,1007.9792,3,4,6,1,0.8660254037844387,-0.4999999999999998,56.67,55.0,65.0,106650.0,59825.0,35600.0,56.191428571428574,59.25633333333333,84780.46666666666,49246.48888888889
2022-04-04,55.0,105025.0,121.57,138.0,0,False,False,True,False,7.61,4.6397605,20.979002,0.0,0.0,1009.57495,4.273023,20.261084,0.0,0.0,1011.1541,4.9814906,21.38317,0.70000005,0.70000005,1010.50415,7.3141837,27.606997,0.0,0.0,1006.3916,4,4,0,0,0.8660254037844387,-0.4999999999999998,55.0,56.67,60.0,141475.0,52662.5,47450.0,55.47714285714286,58.922999999999995,86699.63333333333,50324.544444444444
2022-04-05,55.0,72750.0,121.18,143.0,0,False,False,True,False,7.61,4.827763,21.462334,0.0,0.0,1012.6875,4.57962,20.554832,1.4000001,1.4000001,1014.3791,3.6018322,22.295668,0.90000004,0.90000004,1013.62085,9.630179,28.834082,0.0,0.0,1009.1792,5,4,1,0,0.8660254037844387,-0.4999999999999998,55.0,56.67,55.0,105025.0,45500.0,65425.0,55.47714285714286,58.58966666666666,86943.8,50771.76666666667
2022-04-06,65.0,80900.0,120.88,143.0,0,False,False,True,False,7.61,5.2415676,21.856085,0.2,0.2,1012.38745,4.1278567,20.821499,0.0,0.0,1014.27496,5.3721886,22.274834,0.1,0.1,1013.6082,10.085193,28.819502,0.0,0.0,1009.3542,6,4,2,0,0.8660254037844387,-0.4999999999999998,55.0,55.0,55.0,72750.0,76280.0,84650.0,56.90571428571429,58.58966666666666,86818.8,51545.65555555555
2022-04-07,65.0,125650.0,121.52,143.0,0,False,False,True,False,7.61,4.8422656,19.987333,5.9999995,5.9999995,1013.34595,4.2735343,19.275665,2.5,2.5,1014.90826,4.3815103,20.476921,2.8,2.8,1014.1418,11.509675,27.434082,0.6,0.6,1010.17926,7,4,3,0,0.8660254037844387,-0.4999999999999998,65.0,55.0,55.0,80900.0,107060.0,42975.0,58.33428571428572,58.922999999999995,89574.63333333333,52580.65555555555
2022-04-08,65.0,78285.0,121.84,143.0,0,False,False,True,False,7.61,4.031865,19.731085,3.8999999,3.8999999,1011.15424,4.1787686,19.09233,5.9,5.9,1012.75006,5.0749917,20.324835,1.5999999,1.5999999,1011.9209,10.668788,28.175749,0.1,0.1,1007.75836,8,4,4,0,0.8660254037844387,-0.4999999999999998,65.0,55.0,56.67,125650.0,110200.0,81950.0,59.52428571428572,59.20066666666666,89452.46666666666,53089.37777777778
2022-04-09,65.0,72385.0,121.74,143.0,0,False,False,True,False,7.61,3.9951575,19.156084,19.400002,19.400002,1010.23334,4.228649,18.948584,3.6999998,3.6999998,1011.5666,4.146514,20.029001,5.899999,5.899999,1010.7126,12.922332,27.979918,0.0,0.0,1006.65424,9,4,5,1,0.8660254037844387,-0.4999999999999998,65.0,65.0,56.67,78285.0,106650.0,65700.0,60.714285714285715,59.47833333333333,89675.3,53510.322222222225
