Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Kathmandu_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Rainfall_MM,Hilly_Temperature,Hilly_Rainfall_MM,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price
8000.0,119.24,119.0,0,0,0,0,1,6.03,0.0,13.361168,0.0,10.19358325,0.0,1,1,5,1,0.4999999999999999,0.8660254037844387,115.0
8000.0,119.24,119.0,0,0,0,0,1,6.03,0.0,12.967416,0.0,10.6810825,0.0,2,1,6,1,0.4999999999999999,0.8660254037844387,115.0
22375.0,119.24,119.0,0,0,0,0,1,6.03,0.0,12.807,0.0,11.019625,0.0,3,1,0,0,0.4999999999999999,0.8660254037844387,95.0
8000.0,119.12,119.0,0,0,0,0,1,6.03,0.0,12.7611685,0.0,10.98420875,0.0,4,1,1,0,0.4999999999999999,0.8660254037844387,96.67
32500.0,119.59,119.0,0,0,0,0,1,6.03,0.0,13.6778345,0.0,11.43420875,0.0,5,1,2,0,0.4999999999999999,0.8660254037844387,86.67
11250.0,119.28,119.0,0,0,0,0,1,6.03,1.8000001,15.384083,1.7,12.5352515,1.3500001,6,1,3,0,0.4999999999999999,0.8660254037844387,96.67
32500.0,119.49,119.0,0,0,0,0,1,6.03,0.6,15.800751,0.1,13.4362905,0.05,7,1,4,0,0.4999999999999999,0.8660254037844387,96.67
33500.0,119.2,119.0,0,0,0,0,1,6.03,1.5,16.029917,0.0,13.702959,0.80000005,8,1,5,1,0.4999999999999999,0.8660254037844387,76.67
34500.0,119.2,119.0,0,0,0,0,1,6.03,0.0,16.115335,0.0,13.621709,0.0,9,1,6,1,0.4999999999999999,0.8660254037844387,75.0
14000.0,119.2,119.0,0,0,0,0,1,6.03,5.2,16.696585,0.0,13.1685835,0.3,10,1,0,0,0.4999999999999999,0.8660254037844387,76.67
25000.0,118.77,119.0,0,0,0,0,1,6.03,0.4,17.129915,0.1,12.1206665,0.4,11,1,1,0,0.4999999999999999,0.8660254037844387,76.67
12000.0,118.56,119.0,0,0,0,0,1,6.03,2.8000002,15.204919,3.0,10.4050405,3.45000005,12,1,2,0,0.4999999999999999,0.8660254037844387,76.67
12000.0,118.56,119.0,0,0,0,0,1,6.03,4.2000003,14.6945,0.9,9.1112915,2.4499998,13,1,3,0,0.4999999999999999,0.8660254037844387,76.67
11812.5,118.52,119.0,0,0,0,0,1,6.03,0.0,13.8965845,0.0,9.4206665,0.0,14,1,4,0,0.4999999999999999,0.8660254037844387,76.67
11625.0,118.95,119.0,0,0,0,0,1,6.03,0.0,12.627834,0.0,9.1998335,0.0,15,1,5,1,0.4999999999999999,0.8660254037844387,76.67
11437.5,118.95,119.0,0,0,0,0,1,6.03,0.0,12.609082,0.0,10.1737915,0.0,16,1,6,1,0.4999999999999999,0.8660254037844387,66.67
11250.0,118.95,119.0,0,0,0,0,1,6.03,0.0,12.384083,0.0,11.21233325,0.0,17,1,0,0,0.4999999999999999,0.8660254037844387,66.67
22500.0,119.09,119.0,0,0,0,0,1,6.03,0.0,11.821584,0.0,11.2842085,0.0,18,1,1,0,0.4999999999999999,0.8660254037844387,66.67
24250.0,119.62,122.0,0,0,0,0,1,6.03,0.0,12.238251,0.0,10.647748750000002,0.0,19,1,2,0,0.4999999999999999,0.8660254037844387,66.67
10625.0,119.39,122.0,0,0,0,0,1,6.03,1.5000001,13.136166,0.5,9.860249,0.50000002,20,1,3,0,0.4999999999999999,0.8660254037844387,55.0
23250.0,119.51,122.0,0,0,0,0,1,6.03,6.8999996,14.71325,0.0,8.786291,2.24999985,21,1,4,0,0.4999999999999999,0.8660254037844387,56.67
17625.0,119.37,122.0,0,0,0,0,1,6.03,0.90000004,14.248665,0.0,9.22795775,0.55,22,1,5,1,0.4999999999999999,0.8660254037844387,56.67
12000.0,119.37,122.0,0,0,0,0,1,6.03,4.2999997,14.9799185,0.0,10.38941675,1.8,23,1,6,1,0.4999999999999999,0.8660254037844387,56.67
16625.0,119.37,122.0,0,0,0,0,1,6.03,1.9,14.836167,0.0,9.673792,2.4,24,1,0,0,0.4999999999999999,0.8660254037844387,56.67
16312.5,119.6,122.0,0,0,0,0,1,6.03,4.5,14.959084,0.4,9.6342085,0.50000005,25,1,1,0,0.4999999999999999,0.8660254037844387,55.0
16000.0,119.95,122.0,0,0,0,0,1,6.03,0.90000004,13.111167,0.1,8.351916750000001,0.4499999999999999,26,1,2,0,0.4999999999999999,0.8660254037844387,56.67
10000.0,119.95,122.0,0,0,0,0,1,6.03,1.7,11.952834,0.0,7.4904588,0.1,27,1,3,0,0.4999999999999999,0.8660254037844387,55.0
