Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Kathmandu_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Hilly_Temperature,Hilly_Precipitation,Hilly_Rainfall_MM,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Supply_Volume_lag1,Supply_Volume_lag7,Supply_Volume_lag30,Sarlahi_Temperature_lag1,Sarlahi_Temperature_lag3,Sarlahi_Temperature_lag7,Sarlahi_Rainfall_MM_lag1,Sarlahi_Rainfall_MM_lag3,Sarlahi_Rainfall_MM_lag7,Hilly_Temperature_lag1,Hilly_Temperature_lag3,Hilly_Temperature_lag7,Hilly_Rainfall_MM_lag1,Hilly_Rainfall_MM_lag3,Hilly_Rainfall_MM_lag7,Kathmandu_Rainfall_MM_lag1,Kathmandu_Rainfall_MM_lag2,Average_Price_rollmean_1,Average_Price_rollstd_1,Average_Price_rollmean_7,Average_Price_rollstd_7,Supply_Volume_rollmean_3,Supply_Volume_rollstd_3,Average_Price
18000.0,120.37,122.0,0,0,0,0,1,6.03,0.0,13.7445,0.0,0.0,9.56962575,0.0,0.0,31,1,0,0,0.4999999999999999,0.8660254037844387,65.0,56.67,56.67,23250.0,16625.0,8000.0,11.952834,11.554917,14.836167,0.0,0.0,0.0,8.17899935,6.454000199999999,9.673792,0.0,0.1,2.4,0.4,0.0,65.0,,58.81142857142858,4.879663337333244,18833.333333333332,4416.6666666667,66.67
25500.0,119.68,122.0,0,0,0,0,1,6.23,0.6,12.907001,0.3,0.3,8.6081675,1.0999999,1.0999999,1,2,1,0,0.8660254037844386,0.5000000000000001,66.67,66.67,55.0,18000.0,16312.5,8000.0,13.7445,11.859084,14.959084,0.0,0.0,0.4,9.56962575,7.5977491,9.6342085,0.0,0.0,0.50000005,0.0,0.4,66.67,,60.24,5.564057272650356,20027.777777777777,2821.46205860515,69.17
33000.0,119.97,122.0,0,0,0,0,1,6.23,0.0,13.727834,0.0,0.0,8.3915005,0.1,0.1,2,2,2,0,0.8660254037844386,0.5000000000000001,69.17,65.0,56.67,25500.0,16000.0,22375.0,12.907001,11.952834,13.111167,0.3,0.0,0.1,8.6081675,8.17899935,8.351916750000001,1.0999999,0.0,0.4499999999999999,0.6,0.0,69.17,,62.26428571428572,5.906995449303756,22250.0,3848.701079585194,71.67
40500.0,120.05,122.0,0,0,0,0,1,6.23,3.3000002,15.223667,3.3,3.3,9.86025,0.7,0.7,3,2,3,0,0.8660254037844386,0.5000000000000001,71.67,66.67,55.0,33000.0,10000.0,8000.0,13.727834,13.7445,11.952834,0.0,0.0,0.0,8.3915005,9.56962575,7.4904588,0.1,0.0,0.1,0.0,0.6,71.67,,64.40714285714286,6.250121903573078,25500.0,7500.000000000013,74.17
48000.0,120.08,122.0,0,0,0,0,1,6.23,22.900003,14.613252,28.8,28.8,8.06754205,28.6000035,26.8500035,4,2,4,0,0.8660254037844386,0.5000000000000001,74.17,69.17,56.67,40500.0,14416.666666666668,32500.0,15.223667,12.907001,11.554917,3.3,0.3,0.0,9.86025,8.6081675,6.454000199999999,0.7,1.0999999,0.1,3.3000002,0.0,74.17,,67.14571428571428,5.608100858409689,33000.0,7500.0000000000055,76.67
5000.0,119.82,122.0,0,0,0,0,1,6.23,4.0999994,13.661167,8.6,8.6,6.958168049999999,10.8000005,9.650001,5,2,5,1,0.8660254037844386,0.5000000000000001,76.67,71.67,66.67,48000.0,18833.333333333336,11250.0,14.613252,13.727834,11.859084,28.8,0.0,0.0,8.06754205,8.3915005,7.5977491,26.8500035,0.1,0.0,22.900003,3.3000002,76.67,,70.00285714285714,4.330768654968488,40500.0,7499.999999999993,76.67
27200.0,119.82,122.0,0,0,0,0,1,6.23,0.0,12.779916,0.0,0.0,7.77275,0.0,0.0,6,2,6,1,0.8660254037844386,0.5000000000000001,76.67,74.17,65.0,5000.0,23250.0,32500.0,13.661167,15.223667,11.952834,8.6,3.3,0.0,6.958168049999999,9.86025,8.17899935,9.650001,0.7,0.0,4.0999994,22.900003,76.67,,71.43142857142858,4.683134379776873,31166.666666666668,22969.182252168524,75.0
12000.0,119.82,122.0,0,0,0,0,1,6.23,0.0,13.757,0.0,0.0,8.940458,0.0,0.0,7,2,0,0,0.8660254037844386,0.5000000000000001,75.0,76.67,66.67,27200.0,18000.0,33500.0,12.779916,14.613252,13.7445,0.0,28.8,0.0,7.77275,8.06754205,9.56962575,0.0,26.8500035,0.0,0.0,4.0999994,75.0,,72.86,3.844394187211714,26733.333333333332,21503.798114131692,76.67
36000.0,119.82,122.0,0,0,0,0,1,6.23,0.0,13.436168,0.0,0.0,8.982125,0.45000002,0.45000002,8,2,1,0,0.8660254037844386,0.5000000000000001,76.67,76.67,69.17,12000.0,25500.0,34500.0,13.757,13.661167,12.907001,0.0,8.6,0.3,8.940458,6.958168049999999,8.6081675,0.0,9.650001,1.0999999,0.0,0.0,76.67,,74.28857142857143,2.903747168582041,14733.333333333334,11349.596174901302,76.67
58450.0,119.9,122.0,0,0,0,0,1,6.23,0.1,14.761167,0.0,0.0,10.352958,2.1,2.1,9,2,2,0,0.8660254037844386,0.5000000000000001,76.67,75.0,71.67,36000.0,33000.0,14000.0,13.436168,12.779916,13.727834,0.0,0.0,0.0,8.982125,7.77275,8.3915005,0.45000002,0.0,0.1,0.0,0.0,76.67,,75.36,1.915994084890131,25066.666666666668,12141.389267021046,86.67
11250.0,120.0,122.0,0,0,0,0,1,6.23,0.5,15.3695,0.0,0.0,10.831082,0.35,0.35,10,2,3,0,0.8660254037844386,0.5000000000000001,86.67,76.67,74.17,58450.0,40500.0,25000.0,14.761167,13.757,15.223667,0.0,0.0,3.3,10.352958,8.940458,9.86025,2.1,0.0,0.7,0.1,0.0,86.67,,77.50285714285714,4.16700017712877,35483.333333333336,23229.309790291518,76.67
12125.0,120.21,122.0,0,0,0,0,1,6.23,0.70000005,14.1945,0.0,0.0,9.32587475,1.70000005,1.70000005,11,2,4,0,0.8660254037844386,0.5000000000000001,76.67,76.67,76.67,11250.0,48000.0,12000.0,15.3695,13.436168,14.613252,0.0,0.0,28.8,10.831082,8.982125,8.06754205,0.35,0.45000002,26.8500035,0.5,0.1,76.67,,77.86,3.9343826284014902,35233.333333333336,23609.337841907665,76.67
19166.666666666668,120.92,122.0,0,0,0,0,1,6.23,0.0,14.3965845,0.0,0.0,9.246709,0.0,0.0,12,2,5,1,0.8660254037844386,0.5000000000000001,76.67,86.67,76.67,12125.0,5000.0,12000.0,14.1945,14.761167,13.661167,0.0,0.0,8.6,9.32587475,10.352958,6.958168049999999,1.70000005,2.1,9.650001,0.70000005,0.5,76.67,,77.86,3.9343826284014902,27275.0,27001.886508168285,76.67
26208.333333333336,120.92,122.0,0,0,0,0,1,6.23,0.0,14.513251,0.0,0.0,10.06649975,0.05,0.05,13,2,6,1,0.8660254037844386,0.5000000000000001,76.67,76.67,75.0,19166.666666666668,27200.0,11812.5,14.3965845,15.3695,12.779916,0.0,0.0,0.0,9.246709,10.831082,7.77275,0.0,0.35,0.0,0.0,0.70000005,76.67,,77.86,3.9343826284014902,14180.555555555557,4340.205554954792,65.0
33250.0,120.92,122.0,0,0,0,0,1,6.23,0.0,15.154916,0.0,0.0,11.0581675,0.0,0.0,14,2,0,0,0.8660254037844386,0.5000000000000001,65.0,76.67,76.67,26208.333333333336,12000.0,11625.0,14.513251,14.1945,13.757,0.0,0.0,0.0,10.06649975,9.32587475,8.940458,0.05,1.70000005,0.0,0.0,0.0,65.0,,76.43142857142857,6.268844732940431,19166.666666666668,7041.6666666667315,76.67
85375.0,121.28,122.0,0,0,0,0,1,6.23,1.1,15.179916,0.0,0.0,11.37275,0.4,0.4,15,2,1,0,0.8660254037844386,0.5000000000000001,76.67,76.67,76.67,33250.0,36000.0,11437.5,15.154916,14.3965845,13.436168,0.0,0.0,0.0,11.0581675,9.246709,8.982125,0.0,0.0,0.45000002,0.0,0.0,76.67,,76.43142857142857,6.268844732940431,26208.333333333332,7041.666666666702,76.67
55250.0,120.84,122.0,0,0,0,0,1,6.23,0.3,15.827832,0.0,0.0,11.737334,0.75,0.75,16,2,2,0,0.8660254037844386,0.5000000000000001,76.67,65.0,86.67,85375.0,58450.0,11250.0,15.179916,14.513251,14.761167,0.0,0.0,0.0,11.37275,10.06649975,10.352958,0.4,0.05,2.1,1.1,0.0,76.67,,76.43142857142857,6.268844732940431,48277.777777777774,32319.48622448714,76.67
11250.0,120.42,122.0,0,0,0,0,1,6.23,0.0,16.117416,0.0,0.0,11.7487915,0.0,0.0,17,2,3,0,0.8660254037844386,0.5000000000000001,76.67,76.67,76.67,55250.0,11250.0,22500.0,15.827832,15.154916,15.3695,0.0,0.0,0.0,11.737334,11.0581675,10.831082,0.75,0.0,0.35,0.3,1.1,76.67,,75.00285714285714,4.410845400017753,57958.333333333336,26167.827734325445,76.67
66250.0,120.48,122.0,0,0,0,0,1,6.23,0.0,16.504915,0.0,0.0,12.12066575,0.0,0.0,18,2,4,0,0.8660254037844386,0.5000000000000001,76.67,76.67,76.67,11250.0,12125.0,24250.0,16.117416,15.179916,14.1945,0.0,0.0,0.0,11.7487915,11.37275,9.32587475,0.0,0.4,1.70000005,0.0,0.3,76.67,,75.00285714285714,4.410845400017753,50625.0,37278.303005904105,76.67
36750.0,119.76,128.0,0,0,0,0,1,6.23,0.0,15.819501,0.0,0.0,11.91441625,0.25,0.25,19,2,5,1,0.8660254037844386,0.5000000000000001,76.67,76.67,76.67,66250.0,19166.666666666668,10625.0,16.504915,15.827832,14.3965845,0.0,0.0,0.0,12.12066575,11.737334,9.246709,0.0,0.75,0.0,0.0,0.0,76.67,,75.00285714285714,4.410845400017753,44250.0,29103.26442171048,76.67
