feature,importance
num__USD_TO_NPR,0.30143351953744557
num__Diesel,0.15411776555840362
num__Inflation,0.14463365002630413
num__month_sin,0.12877748034576456
num__Supply_Volume,0.09430451059035933
num__day_of_month,0.047686067720313245
num__month_cos,0.03348379571955896
num__Kathmandu_Air_Pressure,0.0303663355883622
num__Sarlahi_Temperature,0.02242837529406169
num__Hilly_Temperature,0.00995457651996749
num__Kathmandu_Temperature,0.005571447015625592
num__Kavre_Rainfall_MM,0.005011784483074781
num__Hilly_Air_Pressure,0.004994444032111254
num__Dhading_Rainfall_MM,0.004063455006606349
num__Sarlahi_Air_Pressure,0.003579274617699666
num__Sarlahi_Rainfall_MM,0.0032635092160517285
num__Kathmandu_Rainfall_MM,0.002258798739257311
num__Dhading_Air_Pressure,0.0012327051820879948
num__Season_Autumn,0.0009001869250521912
num__Season_Winter,0.0005823490202889824
num__dow_sin,0.000532727574979678
num__is_festival,0.0003800773299626492
num__dow_cos,0.00025293777394498704
num__Season_Spring,0.00012061377587824954
num__Season_Monsoon,5.951081212111003e-05
num__is_weekend,1.0101594716646191e-05
