feature,importance
Average_Price_rollmean_1,0.9982658570773493
Average_Price_lag1,0.0004973160318091216
Supply_Volume_rollmean_3,0.0001749974455193383
Supply_Volume_lag1,0.0001563638956727087
Supply_Volume,0.0001513809495319355
Supply_Volume_lag7,9.380844647925426e-05
Sarlahi_Temperature_lag7,7.50585223580628e-05
Hilly_Temperature_lag7,5.3720486287150454e-05
Hilly_Precipitation_lag1,5.082277077232966e-05
day,4.4683749817434385e-05
Supply_Volume_lag30,3.0513721843224633e-05
Kathmandu_Rainfall_MM_lag2,2.9606528818705226e-05
Hilly_Temperature_lag3,2.6185387645236193e-05
Average_Price_lag7,2.3398781317639224e-05
Sarlahi_Temperature_lag3,2.3135442878258783e-05
Sarlahi_Temperature,2.166478573444766e-05
Sarlahi_Temperature_lag1,1.8956447551498414e-05
Hilly_Precipitation_lag3,1.725434901584076e-05
Average_Price_lag3,1.4794030420463021e-05
Average_Price_rollmean_7,1.452193955668322e-05
Sarlahi_Rainfall_MM,1.3728003966658944e-05
Hilly_Precipitation,1.29564889313017e-05
Hilly_Temperature_lag1,1.2159421227293746e-05
Kathmandu_Rainfall_MM,1.1981614292904836e-05
Kathmandu_Rainfall_MM_lag1,1.1936280737922413e-05
Hilly_Precipitation_lag7,1.1763288979280327e-05
Sarlahi_Precipitation_lag7,1.1746359040845356e-05
Hilly_Temperature,1.0754959951815064e-05
Sarlahi_Rainfall_MM_lag7,1.050191022130434e-05
USD_TO_NPR,1.0232862505577738e-05
