Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,is_festival,imported_tomato_price,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Wind_Speed,Dhading_Temperature,Dhading_Precipitation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Temperature,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Wind_Speed,Kavre_Temperature,Kavre_Precipitation,Kavre_Rainfall_MM,Kavre_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure
2022-01-01,115.0,0.0,119.24,119.0,0,101.0,False,False,False,True,6.03,3.2447717,9.943583,0.0,0.0,1020.72504,2.538594,9.994416,0.0,0.0,1021.24994,3.6775773,10.4435835,0.0,0.0,1021.32495,5.3261857,13.361168,0.0,0.0,1020.31244
2022-01-02,115.0,8000.0,119.24,119.0,0,115.0,False,False,False,True,6.03,3.5207844,10.406083,0.0,0.0,1019.35425,3.5807927,9.85275,0.0,0.0,1020.10834,3.2213936,10.956082,0.0,0.0,1020.13745,5.971028,12.967416,0.0,0.0,1018.67505
2022-01-03,95.0,22375.0,119.24,119.0,0,95.0,False,False,False,True,6.03,3.9123504,10.406083,0.0,0.0,1017.4751,2.9583333,10.542335,0.0,0.0,1018.23737,3.0070534,11.633167,0.0,0.0,1018.20844,6.731186,12.807,0.0,0.0,1017.0041
2022-01-04,96.67,8000.0,119.12,119.0,0,96.67,False,False,False,True,6.03,3.4966657,10.5269165,0.0,0.0,1017.69165,3.2266219,11.431915,0.0,0.0,1018.304,4.0070653,11.441501,0.0,0.0,1018.35425,4.3187785,12.7611685,0.0,0.0,1017.6418
2022-01-05,86.67,32500.0,119.59,119.0,0,86.67,False,False,False,True,6.03,3.2593105,11.1623335,0.0,0.0,1017.7209,3.6826527,10.334001,0.0,0.0,1018.2417,3.0946577,11.706084,0.0,0.0,1018.16656,4.9477096,13.6778345,0.0,0.0,1017.0793
2022-01-06,96.67,11250.0,119.28,119.0,0,96.67,False,False,False,True,6.03,2.9932277,12.568585,1.3000001,1.3000001,1017.3957,4.2241716,11.661084,1.8000001,1.8000001,1017.96246,4.257901,12.501918,1.4000001,1.4000001,1017.7126,6.6405854,15.384083,1.7,1.7,1016.4458
2022-01-07,96.67,32500.0,119.49,119.0,0,96.67,False,False,False,True,6.03,3.5050695,12.99775,0.1,0.1,1017.90826,3.8214161,12.550668,0.6,0.6,1018.68756,4.626613,13.874831,0.0,0.0,1018.24585,5.949877,15.800751,0.1,0.1,1017.2668
2022-01-08,76.67,0.0,119.2,119.0,0,76.67,False,False,False,True,6.03,2.9841452,13.231084,1.4000001,1.4000001,1017.7292,3.6942952,13.061084,1.5,1.5,1018.57916,3.614296,14.174834,0.2,0.2,1018.03326,5.1221538,16.029917,0.0,0.0,1016.44586
2022-01-09,75.0,34500.0,119.2,119.0,0,75.0,False,False,False,True,6.03,3.565139,13.168584,0.0,0.0,1015.4333,4.0124397,12.521501,0.0,0.0,1016.30005,4.1359324,14.074834,0.0,0.0,1015.82904,4.87275,16.115335,0.0,0.0,1014.3835
2022-01-10,76.67,14000.0,119.2,119.0,0,76.67,False,False,False,True,6.03,3.3903267,12.764416,0.0,0.0,1016.28345,3.3588774,10.967332,5.2,5.2,1017.5833,3.0383263,13.572751,0.6,0.6,1017.01245,5.2156816,16.696585,0.0,0.0,1015.07916
2022-01-11,76.67,25000.0,118.77,119.0,0,76.67,False,False,False,True,6.03,3.2860262,11.972751,0.0,0.0,1016.39996,2.833662,11.454834,0.4,0.4,1017.2957,4.3750367,12.268582,0.8,0.8,1017.11255,5.780868,17.129915,0.1,0.1,1014.96674
2022-01-12,76.67,12000.0,118.56,119.0,0,76.67,False,False,False,True,6.03,4.373347,10.462332,3.8,3.8,1016.1458,3.670805,9.788167,2.8000002,2.8000002,1017.0417,3.9435108,10.347749,3.1000001,3.1000001,1016.6958,7.2486396,15.204919,3.0,3.0,1015.1292
2022-01-13,76.67,12000.0,118.56,119.0,0,76.67,False,False,False,True,6.03,3.7100055,9.201916,0.0,0.0,1016.70404,3.8728335,8.038167,4.8,4.2000003,1017.5374,4.0088162,9.020667,7.2,4.8999996,1017.64166,6.2211,14.6945,0.9,0.9,1015.93335
